Date,AMZN,GOOGL,GE,PFE,MRNA,BNTX
2022-10-03,115.88,98.64,63.6,44.14,120.99,136.68
2022-09-30,113.0,95.65,61.91,43.76,118.25,134.88
2022-09-29,114.8,97.42,62.73,44.16,118.07,133.6
2022-09-28,118.01,100.05,64.46,44.43,122.15,133.79
2022-09-27,114.41,97.5,64.47,44.09,122.23,130.3
2022-09-26,115.15,98.17,64.35,43.83,119.69,127.65
2022-09-23,113.78,98.74,64.55,44.08,123.64,128.35
2022-09-22,117.31,100.14,65.36,44.57,124.32,130.0
2022-09-21,118.54,99.28,65.22,43.92,125.76,128.24
2022-09-20,122.19,101.14,66.59,44.77,129.705,133.46
2022-09-19,124.66,103.07,67.05,45.44,127.9,133.22
2022-09-16,123.53,102.8,66.39,46.03,137.74,145.76
2022-09-15,126.28,102.91,68.91,45.94,135.86,144.14
2022-09-14,128.55,105.0,70.03,46.15,139.4,146.55
2022-09-13,126.82,104.32,70.84,46.19,131.3,141.05
2022-09-12,136.45,110.86,75.32,47.76,140.32,148.27
2022-09-09,133.27,110.65,74.04,47.84,142.28,150.91
2022-09-08,129.82,108.38,73.77,47.08,141.28,147.2
2022-09-07,129.48,109.45,73.58,46.13,134.9,144.11
2022-09-06,126.11,106.81,72.16,45.76,130.08,138.58
2022-09-02,127.51,107.85,72.43,45.7,138.57,147.9
2022-09-01,127.82,109.74,73.08,46.63,138.95,147.81
2022-08-31,126.77,108.22,73.44,45.23,132.27,144.64
2022-08-30,128.73,108.94,75.13,45.85,135.93,147.08
2022-08-29,129.79,109.42,76.05,46.23,137.26,144.63
2022-08-26,130.75,110.34,75.27,46.82,136.7,142.6
2022-08-25,137.28,116.65,78.14,47.9,142.05,148.56
2022-08-24,133.8,113.69,76.74,47.43,141.43,146.24
2022-08-23,133.62,113.86,76.1,48.01,143.78,147.25
2022-08-22,133.22,114.24,74.78,48.9,142.47,148.3
2022-08-19,138.23,117.21,77.72,49.15,146.1,147.92
2022-08-18,142.3,120.17,79.21,48.58,150.0,147.61
2022-08-17,142.1,119.55,79.92,49.27,158.0,152.04
2022-08-16,144.78,121.7,81.07,49.86,167.96,160.37
2022-08-15,143.18,122.08,79.81,49.75,176.78,162.48
2022-08-12,143.55,121.68,79.93,50.11,171.18,160.35
2022-08-11,140.64,118.84,78.9,48.29,171.81,158.59
2022-08-10,142.69,119.7,77.14,49.95,174.27,160.92
2022-08-09,137.83,116.63,74.93,49.78,171.14,157.21
2022-08-08,139.41,117.3,75.18,49.57,182.94,169.3
2022-08-05,140.8,117.47,74.36,49.27,186.84,183.11
2022-08-04,142.57,118.19,73.67,49.86,194.18,180.44
2022-08-03,139.52,118.08,74.74,49.86,186.49,178.23
2022-08-02,134.16,115.13,74.36,49.69,160.81,165.77
2022-08-01,135.39,114.86,75.8,50.61,161.51,163.48
2022-07-29,134.95,116.32,73.91,50.51,164.09,165.15
2022-07-28,122.28,114.22,73.14,50.72,158.07,164.92
2022-07-27,120.97,113.06,71.58,51.55,158.02,155.88
2022-07-26,114.81,105.02,71.51,51.8973,160.9,159.72
2022-07-25,121.14,107.51,68.36,51.3714,165.69,162.37
2022-07-22,122.42,107.9,68.19,50.8355,163.52,160.16
2022-07-21,124.63,114.34,68.13,50.7264,168.89,165.87
2022-07-20,122.77,113.9,67.89,50.4287,166.89,164.08
2022-07-19,118.21,113.81,66.74,50.9745,167.14,164.73
2022-07-18,113.76,109.03,63.68,50.3592,163.4,161.03
2022-07-15,113.55,111.778,62.86,51.3515,166.91,161.44
2022-07-14,110.63,110.367,61.09,50.9943,159.92,154.46
2022-07-13,110.4,111.354,62.01,51.3912,171.24,166.62
2022-07-12,109.22,114.02,63.02,51.6393,173.25,161.42
2022-07-11,111.75,115.676,61.91,52.4828,175.26,166.47
2022-07-08,115.54,119.354,63.25,52.7606,176.23,170.13
2022-07-07,116.33,118.783,63.0,53.0087,172.4,167.97
2022-07-06,114.33,114.572,61.57,52.3438,159.56,160.2
2022-07-05,113.5,113.263,62.03,51.2424,155.54,161.03
2022-07-01,109.56,108.738,63.54,51.9072,149.95,157.5
2022-06-30,106.21,108.963,63.67,52.0263,142.85,149.1
2022-06-29,108.92,111.702,63.69,50.5478,142.81,141.98
2022-06-28,107.4,112.008,65.88,50.2699,142.19,139.82
2022-06-27,113.22,115.834,66.71,51.4805,145.36,143.71
2022-06-24,116.46,117.975,67.0,51.1928,144.27,134.04
2022-06-23,112.44,112.242,63.9936,49.7043,143.26,132.29
2022-06-22,108.95,111.488,64.463,48.6922,136.07,123.66
2022-06-21,108.68,111.544,65.6716,47.7396,129.99,123.25
2022-06-17,106.22,107.143,65.9213,46.1717,128.03,125.14
2022-06-16,103.66,106.034,65.2121,47.1144,121.08,129.15
2022-06-15,107.67,109.764,69.0176,48.1365,128.53,137.99
2022-06-14,102.31,106.715,67.9688,47.551,121.56,134.82
2022-06-13,103.67,106.392,67.6392,47.5411,117.13,133.62
2022-06-10,109.65,111.162,71.1451,49.5852,127.12,143.85
2022-06-09,116.15,114.836,74.6908,51.3813,134.04,149.27
2022-06-08,121.18,117.194,77.068,53.0583,148.53,161.73
2022-06-07,123.0,117.149,77.907,53.5445,145.34,160.12
2022-06-06,124.79,116.82,76.9082,52.8499,140.0,159.31
2022-06-03,122.35,114.541,76.8782,52.7904,137.15,157.7
2022-06-02,125.511,117.622,77.907,52.2744,140.18,158.36
2022-06-01,121.684,113.892,77.4275,51.9668,143.4,159.956
2022-05-31,120.21,113.762,78.1966,52.6316,145.33,161.808
2022-05-27,115.146,112.316,78.6661,53.4949,147.66,165.374
2022-05-26,111.078,107.792,76.9182,53.5743,135.8,156.648
2022-05-25,106.775,105.805,74.4411,53.2964,130.85,153.201
2022-05-24,104.1,105.97,74.4311,52.9988,132.06,153.032
2022-05-23,107.557,111.488,75.37,52.4728,137.62,161.67
2022-05-20,107.591,108.908,75.1603,52.066,136.25,161.452
2022-05-19,107.319,110.384,75.6497,50.26,143.38,166.275
2022-05-18,107.112,111.899,75.1103,50.0119,137.71,155.568
2022-05-17,115.368,116.473,76.3089,50.9447,142.28,158.282
2022-05-16,110.81,114.445,74.541,50.2799,136.26,149.764
2022-05-13,113.055,116.051,74.9605,49.5356,137.91,157.331
2022-05-12,106.931,112.844,73.1926,50.002,130.17,156.499
2022-05-11,105.372,113.602,72.3536,48.6723,123.43,142.791
2022-05-10,108.859,114.395,73.2226,48.7117,132.32,143.058
2022-05-09,108.789,112.511,72.883,47.8751,135.8,138.987
2022-05-06,114.772,115.746,78.1367,48.2688,134.4,134.877
2022-05-05,116.407,116.506,78.4963,47.6881,142.02,140.572
2022-05-04,125.929,122.261,80.3341,48.879,155.05,150.398
2022-05-03,124.254,117.334,77.5674,48.5149,146.54,147.812
2022-05-02,124.5,116.583,75.4599,47.5798,142.08,144.653
2022-04-29,124.282,114.11,74.4611,48.2983,134.41,137.462
2022-04-28,144.596,118.522,77.6373,49.7156,142.52,142.038
2022-04-27,138.167,114.294,78.1167,48.9578,142.43,143.068
2022-04-26,139.391,118.65,80.4939,48.2589,145.79,146.545
2022-04-25,146.074,123.074,89.7728,48.1801,150.41,153.627
2022-04-22,144.35,119.636,88.9638,47.3731,140.34,143.692
2022-04-21,148.296,124.814,91.6106,48.3377,144.5,146.436
2022-04-20,153.998,128.04,91.291,48.9676,150.12,152.22
2022-04-19,158.116,130.009,91.7904,49.3909,152.72,158.223
2022-04-18,152.785,127.676,90.2922,51.0248,154.75,158.054
2022-04-14,151.706,126.73,90.7217,52.2846,165.49,173.625
2022-04-13,155.541,129.894,90.6418,52.265,169.66,177.676
2022-04-12,150.788,127.714,89.8927,52.2748,159.5,167.523
2022-04-11,151.122,128.824,89.5631,53.0819,160.0,168.93
2022-04-08,154.46,133.288,89.633,54.3023,160.84,168.643
2022-04-07,157.784,135.888,89.3533,54.2925,159.0,167.504
2022-04-06,158.756,136.548,89.8028,52.0385,154.62,165.067
2022-04-05,164.055,140.591,89.9925,50.4342,162.05,179.102
2022-04-04,168.346,142.972,91.9103,50.1388,172.54,184.471
2022-04-01,163.56,140.151,92.3797,50.759,176.59,177.082
2022-03-31,162.998,139.068,91.3909,50.9558,172.26,168.94
2022-03-30,166.301,141.938,94.4672,51.6153,174.92,173.12
2022-03-29,169.315,142.506,94.5371,51.9106,180.64,170.752
2022-03-28,168.99,141.456,91.8903,52.4421,173.08,164.77
2022-03-25,164.773,141.673,93.9079,51.95,165.92,159.57
2022-03-24,163.65,141.572,94.0078,51.7629,179.68,168.791
2022-03-23,163.408,138.276,93.5883,51.3692,178.73,164.75
2022-03-22,164.889,139.868,94.7868,52.2059,186.72,172.971
2022-03-21,161.492,136.102,94.7069,53.3378,175.38,168.504
2022-03-18,161.251,136.126,95.476,53.6528,178.93,172.803
2022-03-17,157.239,133.839,95.4161,53.387,168.26,163.433
2022-03-16,153.104,133.281,94.5871,52.0877,169.36,162.363
2022-03-15,147.366,129.198,92.2399,51.3889,148.12,143.662
2022-03-14,141.853,125.951,92.3397,51.4283,150.07,150.477
2022-03-11,145.524,129.87,92.1699,49.4795,138.2,134.352
2022-03-10,146.818,132.43,91.2211,48.4262,139.52,135.966
2022-03-09,139.279,133.42,91.1412,47.9834,142.49,138.878
2022-03-08,136.014,127.104,88.0449,46.694,129.28,126.943
2022-03-07,137.453,126.378,85.2782,47.2255,126.46,125.051
2022-03-04,145.641,131.906,88.9538,47.8849,136.46,134.966
