"","x"
"1",42.8
"2",49.5
"3",61.3
"4",70.8
"5",72.8
"6",86.8
"7",91.4
"8",93.4
"9",80
"10",68.2
"11",57.9
"12",47.6
"13",50.4
"14",52.5
"15",64.3
"16",70.3
"17",77.9
"18",84.3
"19",87.7
"20",86.5
"21",80
"22",67
"23",59.7
"24",51.2
"25",49.1
"26",52
"27",56.4
"28",63
"29",72.3
"30",82.6
"31",84.5
"32",87.1
"33",82.4
"34",68.2
"35",53.5
"36",43.1
"37",45.3
"38",47
"39",55.1
"40",66.3
"41",74.4
"42",82.4
"43",83.8
"44",86.2
"45",80.3
"46",71.6
"47",51.5
"48",50.1
"49",44.5
"50",45.7
"51",56.1
"52",65.8
"53",70.9
"54",82.1
"55",87.1
"56",87.3
"57",82.7
"58",71.2
"59",58.7
"60",53.7
"61",47
"62",55.2
"63",61.2
"64",68.1
"65",72.5
"66",84
"67",87.4
"68",85.8
"69",81.5
"70",74.1
"71",63.5
"72",49.7
"73",51.2
"74",60.6
"75",65.7
"76",69.3
"77",75.4
"78",82.5
"79",86.6
"80",84.4
"81",80.6
"82",69.6
"83",62.4
"84",49.7
"85",45.8
"86",51.1
"87",63.3
"88",61.6
"89",79
"90",85.7
"91",88.8
"92",85.2
"93",78.1
"94",66.2
"95",52.5
"96",48.4
"97",45.8
"98",50.2
"99",55
"100",66
"101",73.4
"102",79.9
"103",84.6
"104",87.4
"105",85.5
"106",65.5
"107",53.5
"108",50
"109",50.3
"110",49.6
"111",63.4
"112",64.6
"113",73.8
"114",81.9
"115",85.7
"116",86
"117",74.7
"118",65
"119",60.4
"120",49
